iter	Logloss
0	0.5487231722
1	0.4349357058
2	0.3609236377
3	0.3050829481
4	0.2766619923
5	0.2475475678
6	0.2286636534
7	0.2138754426
8	0.2013642875
9	0.1896378097
10	0.1819539155
11	0.1767866589
12	0.1727735169
13	0.1682578265
14	0.1641759271
15	0.161421819
16	0.1558968368
17	0.1535881045
18	0.1514227507
19	0.1482579785
20	0.1452536258
21	0.1426992445
22	0.1405068437
23	0.1381616649
24	0.1363557922
25	0.1341378322
26	0.1323241241
27	0.1305174629
28	0.1289122725
29	0.1278445144
30	0.1256489189
31	0.1239302942
32	0.1216331624
33	0.1207898263
34	0.119794818
35	0.118766594
36	0.1175524476
37	0.116456553
38	0.1156115382
39	0.1143547286
40	0.1131557513
41	0.1122964584
42	0.1113743993
43	0.1103635038
44	0.1093154277
45	0.1085949464
46	0.1078805694
47	0.1071933188
48	0.1061508202
49	0.1051554654
50	0.1044416133
51	0.1035175751
52	0.1021724329
53	0.1012433844
54	0.1005326868
55	0.09987451532
56	0.09868475997
57	0.09798064723
58	0.0974500938
59	0.09678771915
60	0.09563008445
61	0.09507158079
62	0.09434247841
63	0.09386892502
64	0.09365624653
65	0.09311624166
66	0.0925359278
67	0.09167157152
68	0.09062974593
69	0.08993420039
70	0.08927010535
71	0.08887529891
72	0.08813565905
73	0.08777898452
74	0.08748378193
75	0.08696080233
76	0.0865361191
77	0.08614208114
78	0.08575466489
79	0.08448402501
80	0.08405234248
81	0.08381152013
82	0.08354756245
83	0.08317898738
84	0.08267154589
85	0.08179787228
86	0.08139654433
87	0.08108908554
88	0.08052256253
89	0.08008677936
90	0.07966890131
91	0.07932653429
92	0.07893201074
93	0.0785364614
94	0.07801657993
95	0.07714781793
96	0.07685216338
97	0.07619822956
98	0.07588587937
99	0.0755311166
100	0.07492541036
101	0.07452323456
102	0.07421033867
103	0.07385500981
104	0.07338229889
105	0.07272148501
106	0.07218805216
107	0.07198814812
108	0.07158109825
109	0.07106228251
110	0.07078684832
111	0.07050320961
112	0.07026431753
113	0.0700157891
114	0.06970330769
115	0.06932058291
116	0.06889140738
